Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3wcr_cleaned_206_uff_E=184.96,-5.8,0.0,0.0
3wcr_cleaned_206_uff_E=184.96,-5.6,7.079,4.769
3wcr_cleaned_206_uff_E=184.96,-5.5,30.048,28.169
3wcr_cleaned_206_uff_E=184.96,-5.4,3.679,2.146
3wcr_cleaned_206_uff_E=184.96,-5.4,18.474,17.951
3wcr_cleaned_206_uff_E=184.96,-5.3,5.123,3.091
3wcr_cleaned_206_uff_E=184.96,-5.3,21.138,19.351
3wcr_cleaned_206_uff_E=184.96,-5.3,4.29,1.454
3wcr_cleaned_206_uff_E=184.96,-5.2,3.258,1.873
3wcr_cleaned_481_uff_E=472.93,-5.4,0.0,0.0
3wcr_cleaned_481_uff_E=472.93,-5.2,21.979,20.238
3wcr_cleaned_481_uff_E=472.93,-5.1,5.357,3.42
3wcr_cleaned_481_uff_E=472.93,-5.1,4.077,2.251
3wcr_cleaned_481_uff_E=472.93,-5.0,4.525,2.507
3wcr_cleaned_481_uff_E=472.93,-5.0,17.451,16.379
3wcr_cleaned_481_uff_E=472.93,-5.0,20.973,19.326
3wcr_cleaned_481_uff_E=472.93,-4.9,16.982,15.732
3wcr_cleaned_481_uff_E=472.93,-4.8,21.444,19.61
3wcr_cleaned_603_uff_E=480.26,-6.0,0.0,0.0
3wcr_cleaned_603_uff_E=480.26,-6.0,5.698,2.279
3wcr_cleaned_603_uff_E=480.26,-5.9,5.695,3.042
3wcr_cleaned_603_uff_E=480.26,-5.6,17.461,15.961
3wcr_cleaned_603_uff_E=480.26,-5.6,2.774,1.653
3wcr_cleaned_603_uff_E=480.26,-5.4,19.191,17.29
3wcr_cleaned_603_uff_E=480.26,-5.4,5.716,2.29
3wcr_cleaned_603_uff_E=480.26,-5.4,5.696,2.694
3wcr_cleaned_603_uff_E=480.26,-5.4,2.251,1.616
3wcr_cleaned_718_uff_E=954.24,-6.9,0.0,0.0
3wcr_cleaned_718_uff_E=954.24,-6.8,2.202,1.627
3wcr_cleaned_718_uff_E=954.24,-6.4,4.246,2.72
3wcr_cleaned_718_uff_E=954.24,-6.3,5.997,2.535
3wcr_cleaned_718_uff_E=954.24,-6.3,20.029,17.314
3wcr_cleaned_718_uff_E=954.24,-6.2,4.413,2.694
3wcr_cleaned_718_uff_E=954.24,-6.2,6.07,3.261
3wcr_cleaned_718_uff_E=954.24,-6.1,5.765,2.26
3wcr_cleaned_718_uff_E=954.24,-6.1,5.278,2.64
3wcr_cleaned_719_uff_E=595.20,-6.2,0.0,0.0
3wcr_cleaned_719_uff_E=595.20,-5.8,7.876,5.848
3wcr_cleaned_719_uff_E=595.20,-5.7,5.999,4.387
3wcr_cleaned_719_uff_E=595.20,-5.6,16.044,14.176
3wcr_cleaned_719_uff_E=595.20,-5.6,14.491,13.373
3wcr_cleaned_719_uff_E=595.20,-5.6,17.21,14.677
3wcr_cleaned_719_uff_E=595.20,-5.6,16.405,14.473
3wcr_cleaned_719_uff_E=595.20,-5.6,15.989,13.62
3wcr_cleaned_719_uff_E=595.20,-5.4,13.767,12.513
3wcr_cleaned_1101_uff_E=139.33,-5.4,0.0,0.0
3wcr_cleaned_1101_uff_E=139.33,-5.2,19.456,18.543
3wcr_cleaned_1101_uff_E=139.33,-5.2,18.853,17.348
3wcr_cleaned_1101_uff_E=139.33,-5.1,22.623,21.798
3wcr_cleaned_1101_uff_E=139.33,-5.0,19.371,18.56
