Ligand,Binding Affinity,rmsd/ub, rmsd/lb,,
3wcr_cleaned_5793_uff_E=184.96,-5.9,0,0,,D-Glucose
3wcr_cleaned_5793_uff_E=184.96,-5.6,17.494,16.058,,
3wcr_cleaned_5793_uff_E=184.96,-5.4,16.153,15.452,,
3wcr_cleaned_5793_uff_E=184.96,-5.3,26.168,24.456,,
3wcr_cleaned_5793_uff_E=184.96,-5.2,16.515,15.239,,
3wcr_cleaned_5793_uff_E=184.96,-5.1,21.126,19.53,,
3wcr_cleaned_5793_uff_E=184.96,-5.1,20.749,20.18,,
3wcr_cleaned_5793_uff_E=184.96,-5,19.389,18.327,,
3wcr_cleaned_5793_uff_E=184.96,-5,4.216,2.213,,
3wcr_cleaned_6255_uff_E=385.08,-7.1,0,0,,D-(+)-Maltose
3wcr_cleaned_6255_uff_E=385.08,-6.9,16.423,15.093,,
3wcr_cleaned_6255_uff_E=385.08,-6.8,3.454,1.58,,
3wcr_cleaned_6255_uff_E=385.08,-6.7,17.23,16.158,,
3wcr_cleaned_6255_uff_E=385.08,-6.5,4.649,2.174,,
3wcr_cleaned_6255_uff_E=385.08,-6.2,20.981,18.418,,
3wcr_cleaned_6255_uff_E=385.08,-6.1,21.835,18.338,,
3wcr_cleaned_6255_uff_E=385.08,-6,20.221,17.86,,
3wcr_cleaned_6255_uff_E=385.08,-6,19.935,17.641,,
3wcr_cleaned_185698_uff_E=191.82,-5.7,0,0,,Alpha-D-Mannose
3wcr_cleaned_185698_uff_E=191.82,-5.5,3.547,1.228,,
3wcr_cleaned_185698_uff_E=191.82,-5.4,8.171,6.12,,
3wcr_cleaned_185698_uff_E=191.82,-5.3,7.91,6.155,,
3wcr_cleaned_185698_uff_E=191.82,-5.3,1.942,1.494,,
3wcr_cleaned_185698_uff_E=191.82,-5.2,31.017,29.388,,
3wcr_cleaned_185698_uff_E=191.82,-5.2,4.251,2.076,,
3wcr_cleaned_185698_uff_E=191.82,-5.1,22.487,20.792,,
3wcr_cleaned_185698_uff_E=191.82,-5,22.101,20.633,,
3wcr_cleaned_439680_uff_E=195.52,-5.7,0,0,,Beta-D-Mannose
3wcr_cleaned_439680_uff_E=195.52,-5.7,4.375,1.998,,
3wcr_cleaned_439680_uff_E=195.52,-5.7,3.601,1.569,,
3wcr_cleaned_439680_uff_E=195.52,-5.6,20.168,19.296,,
3wcr_cleaned_439680_uff_E=195.52,-5.5,16.383,14.766,,
3wcr_cleaned_439680_uff_E=195.52,-5.5,3.109,1.651,,
3wcr_cleaned_439680_uff_E=195.52,-5.4,20.182,19.181,,
3wcr_cleaned_439680_uff_E=195.52,-5.4,18.702,17.679,,
3wcr_cleaned_439680_uff_E=195.52,-5.2,19.619,18.789,,
